,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Battery Life (Days),Discount Price,Brand_apple,Brand_boat,Brand_dizo,Brand_fire-boltt,Brand_garmin,Brand_noise,Brand_pebble,Brand_samsung,Brand_zebronics,Dial Shape_Contemporary,Dial Shape_Curved,Dial Shape_Oval,Dial Shape_Rectangle,Dial Shape_Square,Strap Color_Blue,Strap Color_Green,Strap Color_Grey,Strap Color_Others,Strap Color_Pink,Strap Color_Red,Strap Color_Silver,Strap Material_Fluoroelastomer,Strap Material_Leather,Strap Material_Other,Strap Material_Others,Strap Material_Rubber,Strap Material_Silicon,Strap Material_Stainless Steel
0,82990.0,89900.0,7.686318131,4.0,65.0,8.0,6910.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3799.0,16999.0,77.65162657,4.3,20788.0,3.5,13200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1999.0,7990.0,74.98122653,3.8,21724.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1799.0,19999.0,91.00455023,4.3,13244.0,3.5,18200.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1599.0,4999.0,68.01360272,4.1,13901.0,8.0,3400.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,1499.0,3999.0,62.51562891,4.0,32704.0,8.0,2500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,1999.0,4999.0,60.0120024,4.1,1018.0,17.5,3000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1799.0,3999.0,55.01375344,4.0,32704.0,8.0,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,1999.0,6499.0,69.24142176,4.1,39479.0,8.0,4500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1999.0,5999.0,66.67777963,4.1,39479.0,8.0,4000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1999.0,5999.0,66.67777963,4.1,8765.0,8.0,4000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1799.0,3999.0,55.01375344,4.0,32704.0,8.0,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,3799.0,7999.0,52.50656332,3.8,545.0,8.0,4200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3499.0,5999.0,41.67361227,3.8,281.0,8.0,2500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1999.0,5999.0,66.67777963,4.1,9081.0,17.5,4000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1499.0,4999.0,70.0140028,4.0,93075.0,3.6,3500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,1799.0,4999.0,64.01280256,4.1,13901.0,8.0,3200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,1999.0,5999.0,66.67777963,4.1,8765.0,8.0,4000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,1999.0,5999.0,66.67777963,4.1,9081.0,17.5,4000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,2499.0,5999.0,58.34305718,3.5,227.0,17.5,3500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1799.0,3999.0,55.01375344,4.0,32704.0,8.0,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,2999.0,5999.0,50.00833472,4.1,5866.0,17.5,3000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,2699.0,7990.0,66.22027534,4.2,71481.0,8.0,5291.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,2499.0,7990.0,68.72340426,4.2,71481.0,8.0,5491.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,1999.0,7990.0,74.98122653,3.8,21724.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,1199.0,6990.0,82.84692418,4.0,27771.0,8.0,5791.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1799.0,6990.0,74.26323319,3.9,2931.0,8.0,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,1999.0,7990.0,74.98122653,3.8,21724.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2599.0,7990.0,67.4718398,4.2,71481.0,8.0,5391.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1999.0,7990.0,74.98122653,3.6,827.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1999.0,7990.0,74.98122653,3.6,827.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1199.0,6990.0,82.84692418,4.0,27771.0,8.0,5791.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,1799.0,4999.0,64.01280256,4.0,69803.0,17.5,3200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1699.0,6990.0,75.69384835,3.9,23498.0,8.0,5291.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
